What does “academic success” mean to you?,How would you describe your academic goals right now?,How would you describe your academic goals right now?,Where do you think your ideas about academic success come from? Please rank them in order of most influential (1 = most influential; 8 = least influential). - Family,Where do you think your ideas about academic success come from? Please rank them in order of most influential (1 = most influential; 8 = least influential). - Professors/Advisors/Mentors,Where do you think your ideas about academic success come from? Please rank them in order of most influential (1 = most influential; 8 = least influential). - Friends/Peers,Where do you think your ideas about academic success come from? Please rank them in order of most influential (1 = most influential; 8 = least influential). - School culture,Where do you think your ideas about academic success come from? Please rank them in order of most influential (1 = most influential; 8 = least influential). - Community expectations,Where do you think your ideas about academic success come from? Please rank them in order of most influential (1 = most influential; 8 = least influential). - Social Media,Where do you think your ideas about academic success come from? Please rank them in order of most influential (1 = most influential; 8 = least influential). - Career goals,Where do you think your ideas about academic success come from? Please rank them in order of most influential (1 = most influential; 8 = least influential). - Individual experiences,Do you ever feel pressure to succeed academically?,Where does that academic pressure come from?,Where does that academic pressure come from?,Why do you NOT feel pressure to succeed academically?,How does that pressure make you feel?,How does that pressure make you feel?,Do you feel like you have the resources and support you need to achieve academic success?,Why do you feel this way?,Why not?,Does the amount of resources available to you effect how others see your academic potential?,"If you did not do well academically, how much do you think it would effect your future?","OPTIONAL: In what ways, specifically, would this effect your future?",How do you usually feel when you do well in school?,What about when you struggle academically? How do you feel then?,What are you proud of from your most recent school year?,What year of college are you currently in?,What type of school do you go to?,Are you receiving financial aid?,"Thinking back to high school, was the college you are currently attending one of your top three choices?","In high school, where would you situate yourself from an academic standpoint?",Is your current career ambitions the same as you had envisioned in high school?,Is there anything else you would like to share?,"Think of this ladder as representing where people stand in the United States. 
The ladder has 10 rungs. At the top of the ladder are the people who are the best off – those who have the most money, the most education, and the most respected jobs. At the bottom are the people who are the worst off – those who have the least money, least education, the least respected jobs, or no job. 

      

      Now think about your family.
Indicate the rung where you think you stand at this time in your life relative to other people in the United States.","Think of this ladder as representing where people stand in their communities. 
The ladder has 10 rungs. People define community in different ways; please define it in whatever way is most meaningful to you. At the top of the ladder are people who have the highest standing in their community. At the bottom are the people who have the lowest standing in their community. 


      Where would you place yourself on this ladder?
Indicate the rung that best represents where you would be on this ladder."
It is the accomplishment of academic goals and the positive achievement obtained by a student.,"Career preparation,Grad/professional school preparation,Pursuing knowledge/answers",,2,4,7,5,8,6,1,3,Yes,Career Goals,,,Motivated,,Yes,I put aside some money from my monthly salary to support this.,,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Much more,I would not be a position to achieve my career goals.,"Happy,Gratified,Dignified,Proud","Confused,Annoyed,Stressed,Anxious,Nervous,Stuck","Tests,Projects,Major assignments,Time management,Impressing your parents/guardians,Attaining top grades,Awards/Recognition,Internship/Career-oriented work",Second year or equivalent,Public institution,Yes,Yes,Top 10% of the class,"YES, my career ambitions have REMAINED THE SAME from when I was in high school",A very interesting survey.,8,8
To me academic success is about more than just grade or test scores it is about the process of learning growing and developing skills,"Getting good grades,Career preparation,Time management",,6,1,7,8,4,5,3,2,Maybe,,,,Motivated,,Yes,i feel all the way to improve my knowledge skills like improvement to increase my gaining knowledge,,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",About the same,for more talent based performance is giving a best hand for right time,"Happy,Relieved,Proud,Angry","Angry,Stressed","Performance in sports,Major assignments,Time management,Awards/Recognition",Fourth year of equivalent,Private institution,No,Yes,Top 25% of the class,"NO, my career ambitions have changed A LITTLE from when I was in high school",no,6,6
Academic success means gainning knowledge and building a stable future,"Getting good grades,Career preparation,Time management,Balancing stress,Grad/professional school preparation",,2,3,6,5,7,8,1,4,Yes,Family,,,Both,,Like somewhat,Because support exists but feels limitedd,,"Yes, I have sufficient resources and feel adequately prepared to achieve my version of success. This DOES affect how others see my academic potential - (ex.) they feel that with the surplus of resources available to me I should be achieving higher)",Much more,It would limit careeropportunities and delay goals,"Happy,Relieved,Proud","Confused,Stressed,Anxious","Projects,Time management,Balancing stress,Attaining top grades",I am currently not in college,Public institution,Yes,No,Top 25% of the class,"NO, my career ambitions have changed A LOT from when I was in high school",I value learning growth beyond grades which is really controversial to many,6,6
"Acquiring skills, knowledge and networking opportunities that prepare individuals for their chosen profession.",Career preparation,,2,3,6,5,7,8,4,1,Probably yes,Career Goals,,,Motivated,,Like somewhat,"At my age, I'm a parent and at the same time studying. There is too much on my plate.",,"Yes, I have access to sufficient resources, and I DO NOT feel adequately prepared to achieve my version of success. This DOES affect how others see my academic potential - (ex.) they believe that I cannot achieve because I do not have the means to)",Somewhat more,Professionally I need a good job to be able to give my family a better future.,"Happy,Proud",Stressed,Balancing stress,Second year or equivalent,Online institution,No,No,Top 50% of the class,"NO, my career ambitions have changed A LOT from when I was in high school",,4,5
"It is personal growth, building exoertise by contributing to  afield of study by knowldge sharing and meeting academic standards","Getting good grades,Career preparation,Time management,Extracurriculars/Clubs,Grad/professional school preparation,Pursuing knowledge/answers",,3,1,4,5,7,8,2,6,No,,,It is something that i am prepared to success and was ready to fight for it untill i succeed,Motivated,,Yes,I have academic professor and my family and resources that i can count on,,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Much more,Time wasted in persuing the program would have wated me big time,"Happy,Relieved,Gratified,Proud","Confused,Anxious,Nervous,Stuck","Projects,Major assignments,Time management,Balancing stress,Attaining top grades,Awards/Recognition,Extracurriculars/Clubs,Internship/Career-oriented work",Second year or equivalent,Public institution,Yes,Yes,Top 10% of the class,"YES, my career ambitions have REMAINED THE SAME from when I was in high school",i love chasing my dream ,7,7
Growing your learning capabilities,"Career preparation,Pursuing knowledge/answers",,1,7,5,2,8,4,3,6,Maybe,,,,Motivated,,Yes,I have good family and friends that will always support me,,"Yes, I have sufficient resources and feel adequately prepared to achieve my version of success. This DOES affect how others see my academic potential - (ex.) they feel that with the surplus of resources available to me I should be achieving higher)",Somewhat more,It would lead to less prestigious job opportunities,Proud,Stressed,"Projects,Awards/Recognition",Fourth year of equivalent,Online institution,No,No,Top 25% of the class,"YES, my career ambitions have REMAINED THE SAME from when I was in high school",,7,6
This means achieving predetermined person which can include high grade .,"Getting good grades,Career preparation,Time management,Grad/professional school preparation,Pursuing knowledge/answers",,4,1,5,2,6,8,7,3,Probably yes,School Environment,,,Stressed,,Like somewhat,Either way I will need some help. cant buy my own,,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Somewhat more,Emotional,Happy,"Stressed,Anxious,Nervous",Attaining top grades,I am currently not in college,Other,I do not know,Yes,Top 1% of the class,"NO, my career ambitions have changed A LOT from when I was in high school",no,7,7
"Academic success means more than just getting good grades — it’s about growing intellectually, developing important skills, and achieving meaningful goals through learning.","Getting good grades,Time management,Grad/professional school preparation,Pursuing knowledge/answers",,1,2,3,4,5,6,7,8,Yes,School Environment,,,Both,,Yes,"feel this way because the pressure to achieve academic excellence pushes me to work hard and stay motivated, but it can also be overwhelming at times, causing stress as I try to meet high expectations.",,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Much more,"If I did not do well academically, it could limit my opportunities for higher education or certain careers that require strong academic qualifications.

It might also affect my confidence and make it harder to achieve my long-term goals, such as getting a good job or advancing in my chosen field.","Happy,Relieved,Gratified,Proud","Confused,Annoyed,Angry,Stressed,Nervous,Stuck","Performance in sports,Projects,Awards/Recognition,Internship/Career-oriented work",I am currently not in college,Public institution,No,Yes,Top 25% of the class,"NO, my career ambitions have changed A LOT from when I was in high school",No,5,5
Having educational success. ,"Getting good grades,Time management,Balancing stress",,1,3,4,6,5,7,8,2,Maybe,,,,Both,,Like somewhat,Sometimes you feel alone. ,,"Yes, I have sufficient resources and feel adequately prepared to achieve my version of success. This DOES affect how others see my academic potential - (ex.) they feel that with the surplus of resources available to me I should be achieving higher)",Somewhat more,Would not get a good job. ,"Dignified,Anxious","Annoyed,Stressed","Time management,Attaining top grades",Second year or equivalent,Public institution,Yes,No,Top 10% of the class,"NO, my career ambitions have changed A LITTLE from when I was in high school",No,6,6
"Having good grades, learning new things, self development","Getting good grades,Pursuing knowledge/answers",,3,2,8,5,6,7,4,1,Yes,Career Goals,,,Both,,Like somewhat,"I have resources, and it's important for me to have it to my advantage. To learn and gain more information and insight for my career goals.",,"No, I do not have access to sufficient resources and thus feel inadequately prepared to achieve my version of success. This DOES NOT affect how others see my academic potential.",Much more,"If I'm not doing well, I can't have a degree, or be knowledgeable and be open for more opportunities. Background and education is key for me.","Dignified,Anxious","Stressed,Anxious,Nervous","Time management,Balancing stress,Awards/Recognition",First year or equivalent,Public institution,No,No,Top 50% of the class,"YES, my career ambitions have REMAINED THE SAME from when I was in high school",Thank you! It's a pleasure sharing my thoughts. :),5,5
Getting good grades ,"Getting good grades,Career preparation,Time management",,5,1,3,7,2,8,6,4,Probably yes,Myself,,,Both,,Yes,I feel the need to succeed. ,,"Yes, I have sufficient resources and feel adequately prepared to achieve my version of success. This DOES affect how others see my academic potential - (ex.) they feel that with the surplus of resources available to me I should be achieving higher)",Much more,I would not be able to get as good a job. ,"Relieved,Proud","Stressed,Anxious","Major assignments,Time management,Awards/Recognition",First year or equivalent,Private institution,Yes,Yes,Top 10% of the class,"YES, my career ambitions have REMAINED THE SAME from when I was in high school",,8,7
